AUDIOFILE	DIALECT	SPEAKER	SEX	CHUNK	f0sd	f0SAQ	df0mean_pos	df0sd_pos	sl_LTAS_alpha	cvint	pause_sd	pause_meandur	pause_rate
PBAFEM001.wav	PB	pb01	FEM	CH1	3.03	1.97	7.99	5.90	-16.8	30.51	786.42	584.29	0.17
PBAFEM001.wav	PB	pb01	FEM	CH2	2.77	2.08	5.75	4.30	-19.9	21.81	261.57	308.00	0.15
PBAFEM001.wav	PB	pb01	FEM	CH3	2.89	2.58	5.62	4.17	-18.8	16.74	260.00	260.00	0.07
PBAFEM001.wav	PB	pb01	FEM	CH4	5.04	4.70	5.04	3.98	-23.6	29.58	515.74	512.96	0.29
PBAFEM001.wav	PB	pb01	FEM	CH5	2.65	1.73	7.03	5.75	-23.2	22.70	360.94	440.77	0.29
PBAFEM001.wav	PB	pb01	FEM	CH6	2.43	1.43	5.21	3.90	-20.5	19.35	365.04	466.36	0.27
PBAFEM001.wav	PB	pb01	FEM	CH7	2.50	1.31	6.73	7.12	-21.0	20.32	374.01	465.24	0.28
PBAFEM001.wav	PB	pb01	FEM	CH8	3.09	2.67	6.46	5.83	-19.8	26.17	382.70	498.33	0.26
PBAFEM001.wav	PB	pb01	FEM	CH9	2.52	1.95	6.17	4.85	-22.5	21.10	394.34	495.88	0.26
PBAFEM001.wav	PB	pb01	FEM	CH10	2.46	1.77	5.34	4.48	-22.9	25.28	394.74	547.86	0.23
PBAFEM001.wav	PB	pb01	FEM	CH11	2.55	1.63	7.10	5.60	-19.7	25.33	410.49	552.31	0.23
PBAFEM001.wav	PB	pb01	FEM	CH12	1.59	0.93	6.25	4.40	-22.7	25.24	426.41	564.17	0.22
PBAFEM001.wav	PB	pb01	FEM	CH13	3.04	2.22	6.74	5.57	-21.3	28.82	442.11	582.73	0.21
PBAFEM001.wav	PB	pb01	FEM	CH14	3.47	2.98	8.99	8.01	-18.0	21.62	266.73	492.22	0.19
PBAFEM001.wav	PB	pb01	FEM	CH15	3.26	2.86	5.51	4.19	-23.0	19.58	250.38	487.14	0.20
PBAFEM001.wav	PB	pb01	FEM	CH16	2.06	1.44	4.54	3.70	-22.3	21.50	232.01	436.67	0.26
PBAFEM001.wav	PB	pb01	FEM	CH17	2.60	1.64	6.38	4.55	-19.3	24.00	135.94	356.00	0.30
PBAFEM001.wav	PB	pb01	FEM	CH18	2.59	1.50	6.55	7.50	-19.2	23.88	94.65	307.50	0.41
PBAFEM001.wav	PB	pb01	FEM	CH19	4.05	2.07	12.37	5.04	-17.8	27.38	230.00	230.00	0.31
PBAFEM001.wav	PB	pb01	FEM	CH20	3.50	2.75	7.09	6.96	-22.7	17.57	165.43	279.00	0.23
PBAFEM001.wav	PB	pb01	FEM	CH21	3.34	2.32	6.22	4.94	-20.3	20.88	163.48	260.00	0.25
PBAFEM001.wav	PB	pb01	FEM	CH22	2.82	2.41	4.50	3.21	-24.1	20.59	400.00	400.00	0.14
PBAFEM001.wav	PB	pb01	FEM	CH23	1.23	0.79	11.23	8.44	-9.3	30.93	0	0	0
PBAFEM002.wav	PB	pb02	FEM	CH1	3.52	2.36	11.35	8.11	-18.3	15.87	56.57	100.00	0.32
PBAFEM002.wav	PB	pb02	FEM	CH2	3.28	1.87	5.43	5.14	-16.9	17.86	223.61	283.88	0.45
PBAFEM002.wav	PB	pb02	FEM	CH3	0.42	0.35	3.57	1.39	-12.5	28.66	217.62	281.94	0.46
PBAFEM002.wav	PB	pb02	FEM	CH4	3.61	2.41	5.18	5.73	-15.1	29.42	202.02	271.15	0.45
PBAFEM002.wav	PB	pb02	FEM	CH5	3.79	2.82	4.87	3.20	-18.1	21.30	194.72	265.69	0.45
PBAFEM002.wav	PB	pb02	FEM	CH6	2.62	2.09	4.81	4.36	-18.5	15.25	194.39	260.56	0.44
PBAFEM002.wav	PB	pb02	FEM	CH7	2.30	1.42	3.69	2.78	-17.5	20.35	200.14	264.00	0.43
PBAFEM002.wav	PB	pb02	FEM	CH8	3.04	1.93	5.68	4.55	-17.8	14.95	194.57	260.43	0.43
PBAFEM002.wav	PB	pb02	FEM	CH9	2.75	1.92	3.90	2.04	-19.1	18.62	196.15	266.59	0.43
PBAFEM002.wav	PB	pb02	FEM	CH10	2.05	1.01	5.51	3.35	-18.9	17.41	199.37	263.57	0.43
PBAFEM002.wav	PB	pb02	FEM	CH11	0.85	0.56	0.15	0	-18.1	15.95	203.16	259.00	0.41
PBAFEM002.wav	PB	pb02	FEM	CH12	2.41	1.29	4.97	5.80	-18.6	18.46	204.51	255.38	0.41
PBAFEM002.wav	PB	pb02	FEM	CH13	2.25	1.44	5.64	5.14	-18.1	15.85	209.85	253.33	0.40
PBAFEM002.wav	PB	pb02	FEM	CH14	2.57	2.17	3.45	2.77	-19.3	13.63	213.59	251.33	0.40
PBAFEM002.wav	PB	pb02	FEM	CH15	2.52	1.80	5.99	3.13	-18.3	25.54	220.65	251.54	0.40
PBAFEM002.wav	PB	pb02	FEM	CH16	3.31	2.87	7.88	5.89	-15.4	22.81	180.30	232.92	0.38
PBAFEM002.wav	PB	pb02	FEM	CH17	2.52	1.70	4.85	4.39	-13.8	20.40	171.69	222.73	0.37
PBAFEM002.wav	PB	pb02	FEM	CH18	2.83	2.02	6.50	3.96	-14.1	25.07	156.26	212.11	0.44
PBAFEM002.wav	PB	pb02	FEM	CH19	3.77	2.47	6.74	7.37	-15.7	21.67	175.60	217.69	0.39
PBAFEM002.wav	PB	pb02	FEM	CH20	3.42	2.73	6.06	5.82	-17.0	22.60	165.01	209.09	0.39
PBAFEM002.wav	PB	pb02	FEM	CH21	3.52	2.47	5.47	5.26	-13.2	23.68	116.35	168.33	0.32
PBAFEM002.wav	PB	pb02	FEM	CH22	0.03	0.03	0.32	0	-8.9	531.38	380.00	380.00	1.04
PBAFEM002.wav	PB	pb02	FEM	CH23	2.55	1.54	3.46	2.76	-21.3	16.21	122.30	397.50	0.23
PBAFEM003.wav	PB	pb03	FEM	CH1	1.92	1.32	4.04	3.36	-18.3	16.42	145.72	383.33	0.22
PBAFEM003.wav	PB	pb03	FEM	CH2	2.41	1.36	2.30	1.20	-20.6	20.82	205.06	375.00	0.19
PBAFEM003.wav	PB	pb03	FEM	CH3	2.40	1.33	3.16	2.23	-19.4	17.23	230.00	230.00	0.13
PBAFEM003.wav	PB	pb03	FEM	CH4	0.64	0.64	2.65	1.35	-24.6	6.72	278.37	392.50	0.33
PBAFEM003.wav	PB	pb03	FEM	CH5	2.50	1.49	4.07	2.67	-21.6	22.57	285.89	316.67	0.25
PBAFEM003.wav	PB	pb03	FEM	CH6	3.07	1.99	4.06	4.24	-20.5	12.50	0	0	0
PBAFEM003.wav	PB	pb03	FEM	CH7	3.42	2.30	5.22	1.97	-22.6	22.32	214.77	325.71	0.59
PBAFEM003.wav	PB	pb03	FEM	CH8	3.97	3.57	15.43	6.39	-18.9	26.29	213.52	320.21	0.59
PBAFEM003.wav	PB	pb03	FEM	CH9	3.83	2.25	4.47	2.95	-19.1	19.65	215.70	319.15	0.59
PBAFEM003.wav	PB	pb03	FEM	CH10	2.53	2.08	5.97	4.33	-20.4	30.76	217.65	317.17	0.61
PBAFEM003.wav	PB	pb03	FEM	CH11	2.57	1.15	6.69	5.08	-20.0	19.91	222.43	316.14	0.59
PBAFEM003.wav	PB	pb03	FEM	CH12	2.90	2.24	3.15	3.00	-22.3	21.87	220.34	309.30	0.61
PBAFEM003.wav	PB	pb03	FEM	CH13	0.95	0.76	2.42	1.75	-20.7	23.35	220.05	309.75	0.60
PBAFEM003.wav	PB	pb03	FEM	CH14	1.61	1.21	3.53	1.70	-19.3	24.21	214.47	300.26	0.60
PBAFEM003.wav	PB	pb03	FEM	CH15	2.20	1.65	3.49	2.16	-22.0	22.11	223.71	312.94	0.57
PBAFEM003.wav	PB	pb03	FEM	CH16	3.37	2.36	3.19	2.22	-21.5	22.41	227.98	321.61	0.55
PBAFEM003.wav	PB	pb03	FEM	CH17	2.95	1.59	3.76	2.25	-21.8	18.54	242.31	334.23	0.51
PBAFEM003.wav	PB	pb03	FEM	CH18	1.98	1.21	3.93	3.19	-22.0	23.11	246.66	330.80	0.53
PBAFEM003.wav	PB	pb03	FEM	CH19	3.66	3.05	3.11	2.18	-22.0	20.87	228.47	310.00	0.53
PBAFEM003.wav	PB	pb03	FEM	CH20	0.89	0.29	1.49	0.48	-15.6	25.43	235.17	325.24	0.51
PBAFEM003.wav	PB	pb03	FEM	CH21	3.88	2.44	2.01	1.03	-25.9	23.89	205.95	298.50	0.50
PBAFEM003.wav	PB	pb03	FEM	CH22	3.43	2.96	6.14	3.87	-17.5	18.39	192.39	291.67	0.48
PBAFEM003.wav	PB	pb03	FEM	CH23	2.17	1.62	2.96	3.10	-18.8	25.27	197.53	287.65	0.49
