dialect	durnorm_Lobanov	syl_sd	f0norm_Lobanov	f0median	f0peak	f0min	f0sd	f0skewness	f0SAQ	f0rate	f0peak_rate	f0min_rate	f0cv	df0mean	df0mean_pos	df0mean_neg	df0sd	df0sd_pos	df0sd_neg	df0skewness	spect_emphasis	sl_LTAS_breath	sl_LTAS_alpha	sl_LTAS_L1L0	cvint	jitter	shimmer	hnr	pause_sd	pause_meandur	pause_rate	speech_rate	artic_rate
PB	-0.58	116.55	0.18	94.20	101.31	86.08	3.03	0.11	1.97	4.25	2.13	2.13	0.03	-0.70	7.99	-4.97	8.56	5.90	6.06	-0.009	4.56	-22.9	-16.8	-0.3	30.51	1.92	13.71	11.13	821.92	673.33	0.14	5.32	5.15
PB	-0.56	287.65	0.10	93.13	101.23	88.51	2.77	0.08	2.08	6.09	3.04	3.04	0.03	-0.28	5.75	-4.82	6.97	4.30	4.81	-0.17	3.11	-21.5	-19.9	1.2	21.81	2.02	12.55	10.65	251.98	372.50	0.12	4.55	5.06
PB	0.22	146.95	0.10	95.17	99.98	89.66	2.89	0.02	2.58	6.82	3.41	3.41	0.03	-0.59	5.62	-7.14	7.98	4.17	5.35	-0.31	2.85	-23.2	-18.8	1.0	16.74	2.47	13.20	10.42	0	260.00	0.07	5.65	5.76
PB	-0.89	72.38	0.18	94.47	104.15	88.88	5.04	0.26	4.70	2.73	1.47	1.26	0.05	-1.95	5.04	-2.86	5.56	3.98	5.07	-1.08	4.01	-24.5	-23.6	-2.2	29.58	2.04	11.95	10.78	515.74	512.96	0.29	8.02	5.52
PB	-0.45	359.08	0.19	93.41	100.53	89.31	2.65	0.14	1.73	6.12	3.06	3.06	0.03	-0.30	7.03	-5.55	8.68	5.75	6.29	-0.18	3.32	-27.5	-23.2	-0.005	22.70	2.46	13.99	11.10	360.94	440.77	0.29	5.18	5.45
PB	-0.64	189.53	0.39	93.47	100.86	89.09	2.43	0.13	1.43	6.88	3.44	3.44	0.03	-0.43	5.21	-5.67	7.68	3.90	6.52	-0.81	2.93	-20.7	-20.5	3.0	19.35	2.17	14.84	9.98	365.04	466.36	0.27	5.54	5.49
PB	0.72	147.18	0.53	93.65	99.94	85.97	2.50	0.18	1.31	6.41	3.20	3.20	0.03	0.22	6.73	-6.02	9.57	7.12	7.18	0.11	3.64	-26.2	-21.0	-0.01	20.32	2.32	15.28	10.25	374.01	465.24	0.28	4.90	5.49
PB	-0.38	185.54	0.97	95.88	103.89	94.05	3.09	0.55	2.67	5.86	2.93	2.93	0.03	-2.10	6.46	-5.73	9.92	5.83	9.06	-1.17	3.86	-27.5	-19.8	-3.1	26.17	2.35	16.45	9.66	382.70	498.33	0.26	6.61	5.55
PB	-0.13	152.74	0.37	95.16	99.71	89.76	2.52	-0.19	1.95	6.95	3.47	3.47	0.03	0.11	6.17	-5.63	8.11	4.85	6.15	-0.31	3.22	-27.1	-22.5	1.1	21.10	2.86	14.73	10.44	394.34	495.88	0.26	5.00	5.51
PB	-0.11	184.33	0.53	92.84	98.92	89.71	2.46	0.36	1.77	5.70	2.85	2.85	0.03	-1.07	5.34	-5.28	7.54	4.48	6.02	-0.30	2.49	-29.8	-22.9	-1.4	25.28	2.08	14.73	11.15	394.74	547.86	0.23	4.75	5.56
PB	-0.61	203.15	1.07	93.93	100.50	91.00	2.55	0.13	1.63	7.49	3.75	3.75	0.03	-0.08	7.10	-5.59	8.54	5.60	5.90	-0.03	3.52	-25.9	-19.7	-1.8	25.33	2.51	15.35	8.88	410.49	552.31	0.23	5.43	5.61
